relation	arity	arg_roles	arg_types	symmetric	tier	domain	inverse	description
cine:shows	2	shot|subject	id|id	false	grounding-only	cine		A shot depicts a subject entity
cine:scene_of	2	shot|scene	id|id	false	grounding-only	cine	has_shot	A shot belongs to a scene
cine:says	2	speaker|utterance	id|string	false	grounding-only	cine		A speaker delivers an utterance (dialogue/narration)
cine:reads	2	frame|text	id|string	false	grounding-only	cine		Text (OCR/on-screen) read from a frame
cine:commands	2	commander|force	id|id	false	grounding-only	cine		Narrative: an entity commands a force (pressure-test example)
